topology,n,n_actual,seed,degree_auc,degree_stop,degree_fc,CoreHD-0.01n_auc,CoreHD-0.01n_stop,CoreHD-0.01n_fc,gnn-dyn-b25-dfs_auc,gnn-dyn-b25-dfs_stop,gnn-dyn-b25-dfs_fc,rl-greedy-mixed_auc,rl-greedy-mixed_stop,rl-greedy-mixed_fc,rl-greedy-dfs_auc,rl-greedy-dfs_stop,rl-greedy-dfs_fc
ba,500,500,500000,0.197,140,0.412,0.1693,107,0.3,0.1856,144,0.358,0.1848,143,0.346,0.1885,146,0.392
ba,500,500,500001,0.2058,144,0.396,0.1794,115,0.294,0.1825,122,0.406,0.1803,119,0.358,0.1866,132,0.398
ba,500,500,500002,0.1968,143,0.39,0.1741,117,0.298,0.1859,141,0.368,0.1856,139,0.386,0.1874,141,0.396
ba,500,500,500003,0.2019,148,0.428,0.176,115,0.294,0.1833,125,0.396,0.1834,126,0.382,0.1889,135,0.398
ba,500,500,500004,0.1798,132,0.378,0.1576,103,0.274,0.1719,131,0.362,0.1708,132,0.402,0.1771,139,0.376
ba,500,500,500005,0.2007,138,0.414,0.1835,116,0.308,0.1872,142,0.378,0.1883,135,0.37,0.1898,140,0.4
ba,500,500,500006,0.2025,139,0.486,0.1781,113,0.304,0.18,123,0.406,0.1811,114,0.41,0.1877,138,0.406
ba,500,500,500007,0.2062,154,0.424,0.1817,119,0.302,0.1902,149,0.37,0.1866,134,0.352,0.193,146,0.396
ba,500,500,500008,0.2045,143,0.422,0.1876,121,0.308,0.1935,140,0.396,0.1952,141,0.39,0.1958,142,0.408
ba,500,500,500009,0.1934,135,0.4,0.1733,118,0.286,0.1825,137,0.376,0.1799,124,0.372,0.1915,139,0.4
ba,500,500,500010,0.2043,165,0.522,0.1799,122,0.296,0.1859,144,0.384,0.1829,131,0.39,0.1903,135,0.408
ba,500,500,500011,0.2062,140,0.524,0.1822,116,0.302,0.1967,138,0.414,0.1903,131,0.402,0.1993,149,0.414
ba,500,500,500012,0.2041,141,0.428,0.173,111,0.3,0.1858,142,0.376,0.1813,116,0.39,0.1889,147,0.402
ba,500,500,500013,0.2002,143,0.416,0.184,116,0.308,0.1914,137,0.384,0.1903,126,0.388,0.1953,143,0.406
ba,500,500,500014,0.1987,147,0.48,0.181,121,0.302,0.1831,134,0.374,0.183,124,0.392,0.1859,133,0.4
ba,500,500,500015,0.1893,132,0.386,0.1764,125,0.292,0.1816,132,0.408,0.181,131,0.376,0.1826,128,0.416
ba,500,500,500016,0.1855,129,0.374,0.1724,117,0.3,0.177,117,0.396,0.1748,117,0.404,0.1792,120,0.4
ba,500,500,500017,0.19,131,0.48,0.1719,115,0.284,0.1785,117,0.366,0.176,117,0.346,0.18,132,0.386
ba,500,500,500018,0.1925,138,0.392,0.178,123,0.294,0.1871,139,0.392,0.185,130,0.39,0.1916,144,0.408
ba,500,500,500019,0.1846,129,0.554,0.1711,108,0.292,0.1798,124,0.364,0.1757,116,0.36,0.1833,135,0.39
ba,500,500,500020,0.1928,138,0.406,0.1663,107,0.29,0.1757,126,0.39,0.1749,119,0.378,0.1778,125,0.394
ba,500,500,500021,0.2156,158,0.544,0.1901,123,0.312,0.1953,138,0.374,0.196,139,0.368,0.1996,145,0.406
ba,500,500,500022,0.186,127,0.39,0.1725,116,0.294,0.181,117,0.37,0.1799,125,0.386,0.1832,130,0.394
ba,500,500,500023,0.1898,133,0.382,0.1671,116,0.292,0.1748,114,0.372,0.178,117,0.37,0.184,134,0.39
ba,500,500,500024,0.1921,136,0.474,0.1788,119,0.304,0.1852,138,0.372,0.1849,125,0.404,0.1914,144,0.406
ba,500,500,500025,0.2005,140,0.468,0.1805,117,0.304,0.1841,132,0.406,0.1866,121,0.384,0.1899,137,0.41
ba,500,500,500026,0.2005,134,0.502,0.1824,118,0.312,0.189,136,0.406,0.1894,130,0.408,0.1921,137,0.414
ba,500,500,500027,0.2032,139,0.4,0.1775,119,0.29,0.1852,135,0.394,0.1829,131,0.366,0.1901,140,0.412
ba,500,500,500028,0.1956,141,0.406,0.179,126,0.31,0.1918,143,0.376,0.1859,132,0.378,0.1919,141,0.396
ba,500,500,500029,0.196,142,0.394,0.1791,117,0.306,0.188,143,0.394,0.1852,126,0.356,0.1886,138,0.398
er,500,497,1500000,0.3629,257,0.7485,0.3014,195,0.4688,0.3138,229,0.5553,0.3076,211,0.5191,0.3079,223,0.5412
er,500,497,1500001,0.3552,267,0.8089,0.3029,201,0.4789,0.3056,225,0.5252,0.3049,216,0.5151,0.3053,224,0.5392
er,500,496,1500002,0.3536,244,0.8286,0.2975,197,0.4617,0.3055,212,0.5544,0.2983,202,0.5302,0.3013,215,0.5403
er,500,499,1500003,0.3483,260,0.7114,0.2877,188,0.4609,0.2908,200,0.521,0.2931,205,0.5331,0.2872,208,0.5251
er,500,499,1500004,0.3516,258,0.7054,0.2947,190,0.4709,0.304,216,0.5331,0.2963,213,0.5251,0.2976,218,0.5431
er,500,500,1500005,0.3484,245,0.76,0.3013,202,0.454,0.2985,212,0.502,0.2921,198,0.486,0.2948,209,0.522
er,500,496,1500006,0.3462,249,0.746,0.2914,193,0.4496,0.2961,212,0.5,0.2884,195,0.5121,0.2913,214,0.5141
er,500,500,1500007,0.3564,270,0.686,0.2995,200,0.452,0.3083,226,0.548,0.3039,213,0.53,0.3,212,0.552
er,500,500,1500008,0.3621,272,0.802,0.2968,197,0.448,0.301,208,0.552,0.3002,210,0.522,0.3017,219,0.532
