topology,n,seed,degree_auc,degree_stop,degree_fc,CoreHD_auc,CoreHD_stop,CoreHD_fc,CoreHD@0.01n_auc,CoreHD@0.01n_stop,CoreHD@0.01n_fc,gnn-dyn-b25_auc,gnn-dyn-b25_stop,gnn-dyn-b25_fc,rl-greedy_auc,rl-greedy_stop,rl-greedy_fc
ba,500,500000,0.197,140,0.412,0.1723,107,0.434,0.1693,107,0.3,0.1814,135,0.404,0.1771,129,0.328
ba,500,500001,0.2058,144,0.396,0.1841,118,0.418,0.1794,115,0.294,0.1847,122,0.406,0.182,118,0.346
ba,500,500002,0.1968,143,0.39,0.179,127,0.48,0.1741,117,0.298,0.1844,128,0.396,0.1777,121,0.37
er,497,1500000,0.3629,257,0.7485,0.3032,197,0.5694,0.3014,195,0.4688,0.3115,227,0.5533,0.3076,211,0.5091
er,497,1500001,0.3552,267,0.8089,0.3037,201,0.5915,0.3029,201,0.4789,0.3038,212,0.5493,0.304,204,0.501
er,496,1500002,0.3536,244,0.8286,0.2986,200,0.5726,0.2975,197,0.4617,0.3059,218,0.5403,0.3008,195,0.5202
ws,500,2500000,0.396,319,0.884,0.3252,206,0.712,0.3235,206,0.532,0.3225,222,0.638,0.3196,223,0.608
ws,500,2500001,0.3865,313,0.892,0.3335,248,0.708,0.3314,248,0.534,0.3279,237,0.61,0.3268,225,0.568
ws,500,2500002,0.3997,320,0.848,0.3326,226,0.672,0.3313,226,0.522,0.3292,241,0.61,0.3263,214,0.57
