topology,n,n_actual,seed,degree_auc,degree_stop,degree_fc,CoreHD-0.01n_auc,CoreHD-0.01n_stop,CoreHD-0.01n_fc,gnn-dyn-b25-mamba_auc,gnn-dyn-b25-mamba_stop,gnn-dyn-b25-mamba_fc,gnn-dyn-b25-nomamba_auc,gnn-dyn-b25-nomamba_stop,gnn-dyn-b25-nomamba_fc
ba,500,500,500000,0.197,140,0.412,0.1693,107,0.3,0.1909,152,0.366,0.1892,146,0.378
ba,500,500,500001,0.2058,144,0.396,0.1794,115,0.294,0.1857,123,0.408,0.1886,129,0.39
ba,500,500,500002,0.1968,143,0.39,0.1741,117,0.298,0.1916,148,0.378,0.1892,140,0.372
ba,500,500,500003,0.2019,148,0.428,0.176,115,0.294,0.1876,130,0.354,0.1885,130,0.366
ba,500,500,500004,0.1798,132,0.378,0.1576,103,0.274,0.1756,143,0.35,0.177,140,0.366
ba,500,500,500005,0.2007,138,0.414,0.1835,116,0.308,0.1884,138,0.39,0.188,141,0.386
ba,500,500,500006,0.2025,139,0.486,0.1781,113,0.304,0.1852,129,0.41,0.1892,137,0.39
ba,500,500,500007,0.2062,154,0.424,0.1817,119,0.302,0.1892,145,0.376,0.1913,148,0.386
ba,500,500,500008,0.2045,143,0.422,0.1876,121,0.308,0.1999,145,0.386,0.1978,143,0.4
ba,500,500,500009,0.1934,135,0.4,0.1733,118,0.286,0.1834,138,0.392,0.1841,132,0.362
ba,500,500,500010,0.2043,165,0.522,0.1799,122,0.296,0.1862,133,0.4,0.1946,137,0.396
ba,500,500,500011,0.2062,140,0.524,0.1822,116,0.302,0.2015,144,0.406,0.1949,134,0.4
ba,500,500,500012,0.2041,141,0.428,0.173,111,0.3,0.1911,152,0.38,0.1868,139,0.376
ba,500,500,500013,0.2002,143,0.416,0.184,116,0.308,0.1907,128,0.394,0.1969,140,0.388
ba,500,500,500014,0.1987,147,0.48,0.181,121,0.302,0.1846,125,0.39,0.1871,135,0.382
ba,500,500,500015,0.1893,132,0.386,0.1764,125,0.292,0.1834,133,0.388,0.1845,129,0.398
ba,500,500,500016,0.1855,129,0.374,0.1724,117,0.3,0.1765,124,0.378,0.1759,124,0.382
ba,500,500,500017,0.19,131,0.48,0.1719,115,0.284,0.1799,124,0.348,0.1839,132,0.356
ba,500,500,500018,0.1925,138,0.392,0.178,123,0.294,0.1877,143,0.394,0.1863,125,0.39
ba,500,500,500019,0.1846,129,0.554,0.1711,108,0.292,0.1847,131,0.372,0.1797,124,0.372
