topology,n,n_actual,seed,degree_auc,degree_stop,degree_fc,CoreHD-0.01n_auc,CoreHD-0.01n_stop,CoreHD-0.01n_fc,gnn-dyn-b25-mixed_auc,gnn-dyn-b25-mixed_stop,gnn-dyn-b25-mixed_fc,rl-greedy-mixed_auc,rl-greedy-mixed_stop,rl-greedy-mixed_fc,rl-greedy-frag_auc,rl-greedy-frag_stop,rl-greedy-frag_fc
ba,500,500,500000,0.197,140,0.412,0.1693,107,0.3,0.1909,152,0.366,0.1848,143,0.346,0.1932,150,0.524
ba,500,500,500001,0.2058,144,0.396,0.1794,115,0.294,0.1857,123,0.408,0.1803,119,0.358,0.1863,121,0.546
ba,500,500,500002,0.1968,143,0.39,0.1741,117,0.298,0.1916,148,0.378,0.1856,139,0.386,0.1925,146,0.54
ba,500,500,500003,0.2019,148,0.428,0.176,115,0.294,0.1876,130,0.354,0.1834,126,0.382,0.1902,128,0.534
ba,500,500,500004,0.1798,132,0.378,0.1576,103,0.274,0.1756,143,0.35,0.1708,132,0.402,0.1792,136,0.502
ba,500,500,500005,0.2007,138,0.414,0.1835,116,0.308,0.1884,138,0.39,0.1883,135,0.37,0.1915,127,0.576
ba,500,500,500006,0.2025,139,0.486,0.1781,113,0.304,0.1852,129,0.41,0.1811,114,0.41,0.1884,138,0.592
ba,500,500,500007,0.2062,154,0.424,0.1817,119,0.302,0.1892,145,0.376,0.1866,134,0.352,0.1934,155,0.446
ba,500,500,500008,0.2045,143,0.422,0.1876,121,0.308,0.1999,145,0.386,0.1952,141,0.39,0.2002,143,0.56
ba,500,500,500009,0.1934,135,0.4,0.1733,118,0.286,0.1834,138,0.392,0.1799,124,0.372,0.1885,137,0.548
ba,500,500,500010,0.2043,165,0.522,0.1799,122,0.296,0.1862,133,0.4,0.1829,131,0.39,0.1909,141,0.58
ba,500,500,500011,0.2062,140,0.524,0.1822,116,0.302,0.2015,144,0.406,0.1903,131,0.402,0.2007,145,0.526
ba,500,500,500012,0.2041,141,0.428,0.173,111,0.3,0.1911,152,0.38,0.1813,116,0.39,0.1901,144,0.526
ba,500,500,500013,0.2002,143,0.416,0.184,116,0.308,0.1907,128,0.394,0.1903,126,0.388,0.1945,127,0.504
ba,500,500,500014,0.1987,147,0.48,0.181,121,0.302,0.1846,125,0.39,0.183,124,0.392,0.1928,144,0.562
ba,500,500,500015,0.1893,132,0.386,0.1764,125,0.292,0.1834,133,0.388,0.181,131,0.376,0.1857,132,0.6
ba,500,500,500016,0.1855,129,0.374,0.1724,117,0.3,0.1765,124,0.378,0.1748,117,0.404,0.1779,125,0.57
ba,500,500,500017,0.19,131,0.48,0.1719,115,0.284,0.1799,124,0.348,0.176,117,0.346,0.1791,117,0.418
ba,500,500,500018,0.1925,138,0.392,0.178,123,0.294,0.1877,143,0.394,0.185,130,0.39,0.1896,140,0.554
ba,500,500,500019,0.1846,129,0.554,0.1711,108,0.292,0.1847,131,0.372,0.1757,116,0.36,0.1792,130,0.422
ba,500,500,500020,0.1928,138,0.406,0.1663,107,0.29,0.1774,125,0.37,0.1749,119,0.378,0.1774,124,0.492
ba,500,500,500021,0.2156,158,0.544,0.1901,123,0.312,0.1976,137,0.404,0.196,139,0.368,0.2028,144,0.504
ba,500,500,500022,0.186,127,0.39,0.1725,116,0.294,0.1839,132,0.368,0.1799,125,0.386,0.1863,135,0.578
